title,avail_global,date_release,hours_viewed,language,year,months_out,views_per_month,series
The Magician's Elephant,Yes,2023-03-17,48.3,English,2023.0,4.0,12.075,The Magician's Elephant
Friends (1994): Season 5,No,,48.2,English,,,,Friends (1994)
Teen Titans Go!: Season 5,No,,48.1,English,,,,Teen Titans Go!
Shrek,No,,48.1,English,,,,Shrek
Suits (2011): Season 7,Yes,,48.1,English,,,,Suits (2011)
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,2023-04-12,47.9,English,2023.0,3.0,15.966666666666667,American Manhunt: The Boston Marathon Bombing: Limited Series
Twenty Five Twenty One: Season 1,Yes,2022-02-12,47.8,Korean,2022.0,17.0,2.8117647058823527,Twenty Five Twenty One
Shrek 2,No,,47.5,English,,,,Shrek 2
JUNG_E,Yes,2023-01-20,47.1,Korean,2023.0,5.0,9.42,JUNG_E
Friends (1994): Season 3,No,,46.9,English,,,,Friends (1994)
The School for Good and Evil,Yes,2022-10-19,46.9,English,2022.0,8.0,5.8625,The School for Good and Evil
Puss in Boots (2011),No,,46.6,English,,,,Puss in Boots (2011)
The Thundermans: Season 2,No,,46.5,English,,,,The Thundermans
Friends (1994): Season 1,No,,46.4,English,,,,Friends (1994)
Teen Titans Go!: Season 1,No,,46.4,English,,,,Teen Titans Go!
Rana Naidu: Season 1,Yes,2023-03-10,46.3,Marathi,2023.0,4.0,11.575,Rana Naidu
From Scratch: Limited Series,Yes,2022-10-21,46.2,English,2022.0,8.0,5.775,From Scratch: Limited Series
Bake Squad: Season 2,Yes,2023-01-20,46.1,English,2023.0,5.0,9.22,Bake Squad
Friends (1994): Season 7,No,,46.1,English,,,,Friends (1994)
Under the Queen's Umbrella: Limited Series,Yes,2022-10-15,46.1,Spanish,2022.0,9.0,5.122222222222223,Under the Queen's Umbrella: Limited Series
Ganglands: Season 2,Yes,2023-02-17,46.0,Spanish,2023.0,4.0,11.5,Ganglands
The Queen's Gambit: Limited Series,Yes,2020-10-23,45.9,English,2020.0,33.0,1.3909090909090909,The Queen's Gambit: Limited Series
Virgin River: Season 4,Yes,2022-07-20,45.9,English,2022.0,12.0,3.8249999999999997,Virgin River
Gabby's Dollhouse: Season 7,Yes,2023-03-20,45.8,English,2023.0,3.0,15.266666666666666,Gabby's Dollhouse
A Beautiful Life,Yes,2023-06-01,45.7,English,2023.0,1.0,45.7,A Beautiful Life
Peppa Pig: Season 6,No,,45.7,English,,,,Peppa Pig
Copycat Killer: Season 1,Yes,2023-03-31,45.6,Korean,2023.0,3.0,15.200000000000001,Copycat Killer
Avatar: The Last Airbender: Book 1,No,,45.5,English,,,,Avatar: The Last Airbender: Book 1
Friends (1994): Season 9,No,,45.4,English,,,,Friends (1994)
Peaky Blinders: Season 2,No,2014-11-14,45.4,English,2014.0,105.0,0.43238095238095237,Peaky Blinders
The Flash (2014): Season 2,No,,45.4,English,,,,The Flash (2014)
Boys Over Flowers: Volume 1,No,,45.3,Korean,,,,Boys Over Flowers: Volume 1
The Office (U.S.): Season 2,No,,45.3,English,,,,The Office (U.S.)
Transatlantic: Limited Series,Yes,2023-04-07,45.3,English,2023.0,3.0,15.1,Transatlantic: Limited Series
Friends (1994): Season 4,No,,45.2,English,,,,Friends (1994)
Masha and the Bear: Season 2,No,,45.1,English,,,,Masha and the Bear
The Woman King,No,,44.9,English,,,,The Woman King
Friends (1994): Season 8,No,,44.9,English,,,,Friends (1994)
Love Island USA: Season 2,No,,44.8,English,,,,Love Island USA
Money Heist: Part 5,Yes,2021-09-03,44.7,Spanish,2021.0,22.0,2.0318181818181817,Money Heist
The Walking Dead: Season 1,No,,44.6,English,,,,The Walking Dead
Grey's Anatomy: Season 3,No,,44.3,English,,,,Grey's Anatomy
S.W.A.T. (2017): Season 3,No,,44.2,English,,,,S.W.A.T. (2017)
Las muñecas de la mafia: Season 1,No,2015-07-01,44.0,English,2015.0,97.0,0.4536082474226804,Las muñecas de la mafia
Lucifer: Season 4,No,2019-05-08,44.0,English,2019.0,50.0,0.88,Lucifer
Better Call Saul: Season 5,No,2020-02-24,43.9,English,2020.0,41.0,1.0707317073170732,Better Call Saul
Teen Wolf (2011): Season 3,No,,43.9,English,,,,Teen Wolf (2011)
Friends (1994): Season 2,No,,43.8,English,,,,Friends (1994)
In Love All Over Again: Season 1,Yes,2023-02-14,43.8,Spanish,2023.0,5.0,8.76,In Love All Over Again
PIECES OF HER: Season 1,Yes,2022-03-04,43.8,English,2022.0,16.0,2.7375,PIECES OF HER
F9: The Fast Saga,No,,43.7,English,,,,F9: The Fast Saga
The 100: Season 1,No,,43.6,English,,,,The 100
The Blacklist: Season 7,No,,43.5,English,,,,The Blacklist
Vikings (2013): Season 5,No,,43.4,English,,,,Vikings (2013)
Shameless (U.S.): Season 2,No,,43.3,English,,,,Shameless (U.S.)
The Office (U.S.): Season 6,No,,43.3,English,,,,The Office (U.S.)
El Chema: Season 1,No,,43.2,English,,,,El Chema
Rosario Tijeras (Mexico): Season 2,No,,43.2,English,,,,Rosario Tijeras (Mexico)
Santiago of the Seas: Season 1,No,,43.2,English,,,,Santiago of the Seas
Seinfeld: Season 6,Yes,,43.2,English,,,,Seinfeld
